setting,domain,domain_short,n_runs,n_per_run,metric,mean_pct,seed_std_pct,values_pct,categories,paths
Baseline,Code,Code,1,135,consistency,78.51851851851852,,78.518519,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/baseline_qwen7b/eval_results.json
Baseline,Code,Code,1,135,first_pos_rate,45.18518518518518,,45.185185,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/baseline_qwen7b/eval_results.json
Baseline,Adversarial,Adv.,1,43,orig_acc,32.55813953488372,,32.558140,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/baseline_qwen7b/eval_results.json
Baseline,Adversarial,Adv.,1,43,swap_acc,41.86046511627907,,41.860465,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/baseline_qwen7b/eval_results.json
Baseline,Adversarial,Adv.,1,43,consistency,72.09302325581395,,72.093023,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/baseline_qwen7b/eval_results.json
Baseline,Adversarial,Adv.,1,43,first_pos_rate,44.18604651162791,,44.186047,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/baseline_qwen7b/eval_results.json
GRPO unbalanced,Chat,Chat,4,87,orig_acc,99.42528735632183,1.1494252873563204,97.701149;100.000000;100.000000;100.000000,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Chat,Chat,4,87,swap_acc,64.9425287356322,9.026221447808233,66.666667;51.724138;70.114943;71.264368,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Chat,Chat,4,87,consistency,64.9425287356322,9.026221447808233,66.666667;51.724138;70.114943;71.264368,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Chat,Chat,4,87,first_pos_rate,67.09770114942529,4.701299307206142,64.942529;74.137931;64.942529;64.367816,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Reasoning,Reas.,4,69,orig_acc,98.55072463768117,0.0,98.550725;98.550725;98.550725;98.550725,math-prm,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Reasoning,Reas.,4,69,swap_acc,18.115942028985508,3.4499654244168365,20.289855;13.043478;20.289855;18.840580,math-prm,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Reasoning,Reas.,4,69,consistency,19.565217391304348,3.449965424416835,21.739130;14.492754;21.739130;20.289855,math-prm,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Reasoning,Reas.,4,69,first_pos_rate,90.21739130434783,1.7249827122084203,89.130435;92.753623;89.130435;89.855072,math-prm,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Safety,Safe,4,115,orig_acc,94.1304347826087,1.3043478260869594,93.043478;95.652174;93.043478;94.782609,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Safety,Safe,4,115,swap_acc,69.1304347826087,10.252022715262257,72.173913;53.913043;74.782609;75.652174,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Safety,Safe,4,115,consistency,73.69565217391305,10.346851738319732,77.391304;58.260870;80.000000;79.130435,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Safety,Safe,4,115,first_pos_rate,62.5,5.605998677490273,60.434783;70.869565;59.130435;59.565217,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Code,Code,4,135,orig_acc,96.2962962962963,1.3524013765559615,97.037037;94.814815;97.777778;95.555556,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Code,Code,4,135,swap_acc,63.33333333333333,8.434909062982088,65.185185;51.111111;66.666667;70.370370,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Code,Code,4,135,consistency,64.44444444444444,8.701733425533877,67.407407;51.851852;66.666667;71.851852,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Code,Code,4,135,first_pos_rate,62.96296296296296,2.978355081929587,62.962963;67.037037;61.851852;60.000000,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Adversarial,Adv.,4,43,orig_acc,75.0,9.180402544439547,72.093023;88.372093;67.441860;72.093023,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Adversarial,Adv.,4,43,swap_acc,28.488372093023255,9.751740794890795,32.558140;13.953488;32.558140;34.883721,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Adversarial,Adv.,4,43,consistency,51.162790697674424,17.506340760676302,55.813953;25.581395;65.116279;58.139535,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO unbalanced,Adversarial,Adv.,4,43,first_pos_rate,73.25581395348837,9.35064967582544,69.767442;87.209302;67.441860;68.604651,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json
GRPO balanced,Chat,Chat,5,87,orig_acc,94.25287356321839,0.8127664151569501,94.252874;94.252874;95.402299;94.252874;93.103448,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Chat,Chat,5,87,swap_acc,92.18390804597702,0.5140386155171924,91.954023;93.103448;91.954023;91.954023;91.954023,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Chat,Chat,5,87,consistency,91.49425287356323,0.6295661580519143,90.804598;91.954023;91.954023;90.804598;91.954023,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Chat,Chat,5,87,first_pos_rate,50.57471264367817,0.5747126436781602,51.149425;50.000000;51.149425;50.574713;50.000000,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Reasoning,Reas.,5,69,orig_acc,85.5072463768116,2.049584873004489,84.057971;84.057971;86.956522;84.057971;88.405797,math-prm,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Reasoning,Reas.,5,69,swap_acc,68.40579710144927,6.905002463519766,73.913043;72.463768;56.521739;69.565217;69.565217,math-prm,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Reasoning,Reas.,5,69,consistency,70.72463768115942,7.202767327414014,72.463768;79.710145;60.869565;73.913043;66.666667,math-prm,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Reasoning,Reas.,5,69,first_pos_rate,58.550724637681164,4.079909640654853,55.072464;55.797101;65.217391;57.246377;59.420290,math-prm,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Safety,Safe,5,115,orig_acc,82.6086956521739,2.459501847605384,84.347826;79.130435;84.347826;80.869565;84.347826,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Safety,Safe,5,115,swap_acc,85.04347826086956,0.38888138739126554,85.217391;85.217391;84.347826;85.217391;85.217391,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Safety,Safe,5,115,consistency,88.69565217391305,2.8177133471338514,90.434783;85.217391;91.304348;86.086957;90.434783,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Safety,Safe,5,115,first_pos_rate,48.78260869565217,1.3187609467915742,49.565217;46.956522;50.000000;47.826087;49.565217,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Code,Code,5,135,orig_acc,91.25925925925927,1.098696072162322,92.592593;91.111111;91.111111;89.629630;91.851852,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Code,Code,5,135,swap_acc,88.44444444444444,1.9316155274674494,88.888889;91.111111;85.925926;87.407407;88.888889,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Code,Code,5,135,consistency,84.14814814814815,0.8445743889623256,84.444444;83.703704;84.444444;82.962963;85.185185,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Code,Code,5,135,first_pos_rate,47.925925925925924,0.6728111897994407,48.518519;47.407407;48.148148;47.037037;48.518519,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Adversarial,Adv.,5,43,orig_acc,38.604651162790695,3.120094852325289,41.860465;34.883721;37.209302;41.860465;37.209302,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Adversarial,Adv.,5,43,swap_acc,48.837209302325576,1.644434374852437,48.837209;48.837209;51.162791;46.511628;48.837209,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Adversarial,Adv.,5,43,consistency,77.20930232558139,5.552249482006197,83.720930;69.767442;76.744186;81.395349;74.418605,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
GRPO balanced,Adversarial,Adv.,5,43,first_pos_rate,44.41860465116279,2.0800632348835246,46.511628;41.860465;43.023256;46.511628;44.186047,llmbar-adver-GPTInst;llmbar-adver-GPTOut;llmbar-adver-manual;llmbar-adver-neighbor,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json
